국립공원명,조사일자,자원명,위치명,로드킬구간명,경도,위도
속리산,2016-06-07,다람쥐,지방도 997호,속리_로드킬_001,127.8733635,36.5897
속리산,2016-02-25,붉은머리오목눈이,국지도 32호,속리_로드킬_002,127.8338308,36.6777
속리산,2015-10-21,다람쥐,지방도 517호,속리_로드킬_003,127.9033749,36.7345
속리산,2015-10-21,쇠딱다구리,속리산_로드킬구간 외,속리산_로드킬구간 외,127.8789419,36.68945195
속리산,2015-10-16,다람쥐,속리산_로드킬구간 외,속리산_로드킬구간 외,127.8789419,36.68945195
속리산,2015-10-11,족제비,속리산_로드킬구간 외,속리산_로드킬구간 외,127.8789419,36.68945195
속리산,2015-10-11,두더지,속리산_로드킬구간 외,속리산_로드킬구간 외,127.8789419,36.68945195
속리산,2015-10-11,대륙밭쥐,지방도 997호,속리_로드킬_001,127.8733635,36.5897
속리산,2015-10-11,살모사,지방도 997호,속리_로드킬_001,127.8733635,36.5897
속리산,2015-09-16,유혈목이,지방도 997호,속리_로드킬_001,127.8733635,36.5897
속리산,2015-08-28,대륙유혈목이,농어촌도로 내속 202호,속리_로드킬_005,127.8746136,36.5033
속리산,2015-08-11,오목눈이,속리산_로드킬구간 외,속리산_로드킬구간 외,127.8789419,36.68945195
속리산,2015-08-07,쇠살모사,속리산_로드킬구간 외,속리산_로드킬구간 외,127.8789419,36.68945195
속리산,2015-08-07,누룩뱀,농어촌도로 내속 202호,속리_로드킬_005,127.8746136,36.5033
속리산,2015-08-05,쇠살모사,속리산_로드킬구간 외,속리산_로드킬구간 외,127.8789419,36.68945195
속리산,2015-08-04,다람쥐,농어촌도로 내속 202호,속리_로드킬_005,127.8746136,36.5033
속리산,2015-07-16,다람쥐,국지도 32호,속리_로드킬_002,127.8338308,36.6777
속리산,2015-07-15,다람쥐,국지도 32호,속리_로드킬_002,127.8338308,36.6777
속리산,2015-07-15,유혈목이,지방도 517호,속리_로드킬_003,127.9033749,36.7345
속리산,2015-07-15,다람쥐,국지도 32호,속리_로드킬_002,127.8338308,36.6777
속리산,2015-06-29,다람쥐,지방도 517호,속리_로드킬_003,127.9033749,36.7345
속리산,2015-06-15,다람쥐,국지도 32호,속리_로드킬_002,127.8338308,36.6777
속리산,2015-04-10,다람쥐,지방도 517호,속리_로드킬_003,127.9033749,36.7345
속리산,2014-11-09,멧토끼,속리산_로드킬구간 외,속리산_로드킬구간 외,127.8789419,36.68945195
