번호,생태통로명,주소,도로명,도로번호,차선_수,위도_도,위도_분,위도_초,경도_도,경도_분,경도_초,관리기관,생태통로유형,설치기관,설치년도,위도,경도
1257,,충청남도 공주시 신풍면 청흥리,,39호선,왕복2차선,36,28,11.9,126,56,39.1,충청남도 종합건설사업소 공주지소,육교형,논산국토관리사무소,2008,36.46997222,126.9441944
1275,,충청남도 공주시 사곡면 고당리,,629호선,왕복2차선,36,31,38.73127063,127,1,50.3946762,충청남도 종합건설사업소 공주지소,육교형,충청남도 종합건설사업소,2008,36.52742535,127.0306652
1373,당진대전선 53.60k(영정육교),충청남도 공주시 신풍면 영정리,,(고속국도 30호선),왕복4차선,36,30,59.67,127,0,0.3384,한국도로공사,육교형,한국도로공사,200912,36.516575,127.000094
1374,당진대전선 61.60k(상서육교),충청남도 공주시 우성면 상서리,,(고속국도 30호선),왕복4차선,36,29,11.22,127,4,45.9768,한국도로공사,육교형,한국도로공사,200912,36.48645,127.079438
1375,당진대전선 68.10k,충청남도 공주시 의당면 청룡리,,(고속국도 30호선),왕복4차선,36,29,41.98,127,8,41.51,한국도로공사,터널형,한국도로공사,200912,36.49499444,127.1448639
1541,계룡생태통로,충청남도 공주시 반포면 학봉리,,1,왕복2차선,36,20,46.3,127,15,9.5,국립공원관리공단,육교형,충청남도,20171130,36.34619444,127.2526389
